recall,precision,threshold
1.0,0.01399414302640109,4.23437720724931e-07
1.0,0.014022983356107615,8.282742516929758e-07
1.0,0.014059043490954824,9.257761490379522e-07
1.0,0.014093544211178026,9.937982830868509e-07
1.0,0.014125026794679424,1.0756775267894183e-06
1.0,0.014169948843315678,1.1438511283680114e-06
1.0,0.014206286168160671,1.2003285966428255e-06
1.0,0.014248970022534314,1.2607181467046768e-06
1.0,0.014279359937955496,1.3152308994543689e-06
1.0,0.01431200631008585,1.3767866911735865e-06
1.0,0.014348583478500047,1.4289725154936105e-06
1.0,0.014407033209822558,1.4668369428730663e-06
1.0,0.014484705446804573,1.5195375397659509e-06
1.0,0.014537178951279551,1.5679579012967018e-06
1.0,0.014579839761505497,1.6061743838910557e-06
1.0,0.01465904833270888,1.6487388907970593e-06
1.0,0.0147003569415743,1.6877658459657243e-06
1.0,0.014732704957578753,1.732552015576035e-06
1.0,0.01479275958221088,1.7704342978462912e-06
1.0,0.014869182076222372,1.810834329944388e-06
1.0,0.01491346142392586,1.8512796025840973e-06
1.0,0.014947468958930277,1.8840327771920445e-06
1.0,0.015026043541921701,1.926127747902775e-06
1.0,0.015100165233437459,1.963172374278635e-06
1.0,0.015146199537871548,2.0041253781110845e-06
1.0,0.015181278040499575,2.043572659268557e-06
1.0,0.015216334467671367,2.0768694018617373e-06
1.0,0.015263453051471485,2.116459769870353e-06
1.0,0.01530674621610387,2.1528739292391097e-06
1.0,0.015340881242954468,2.182623021314302e-06
1.0,0.015380835380835381,2.212666545394032e-06
1.0,0.015416251092805339,2.249655228868072e-06
1.0,0.015464808913263668,2.2862474174210586e-06
1.0,0.015517519180000744,2.315965991237873e-06
1.0,0.015553181445501751,2.345735947316261e-06
1.0,0.015591920097636304,2.3775518050922862e-06
1.0,0.015629876533962524,2.4063852375033155e-06
1.0,0.015666645811174374,2.4392988270916085e-06
1.0,0.01570024077046549,2.4728013262498512e-06
1.0,0.015739122782757364,2.502144668324447e-06
1.0,0.01577919213561031,2.529080658820166e-06
1.0,0.015813471764364113,2.5529608063156696e-06
1.0,0.015869193231510235,2.581242652039609e-06
1.0,0.015908109069655153,2.6103804603211977e-06
1.0,0.01595127979716903,2.639360905202969e-06
1.0,0.015990599775212017,2.6720911966209984e-06
1.0,0.016039355351149146,2.698901383641725e-06
1.0,0.016076427232337757,2.7314349249961136e-06
1.0,0.016112634003835117,2.7595331141260085e-06
1.0,0.016168399302640926,2.785881827737352e-06
1.0,0.01620879832215634,2.8174312674775694e-06
1.0,0.016246447711612575,2.844408145960016e-06
1.0,0.016290840956111018,2.8727751213911426e-06
1.0,0.016330789799778256,2.8979131540127062e-06
1.0,0.016369222723409817,2.9278946901525853e-06
1.0,0.016406331900618513,2.9536392264382025e-06
1.0,0.016448362389479353,2.9821028433725357e-06
1.0,0.016493215650111973,3.0144506736306937e-06
1.0,0.016540280603482442,3.041302576863445e-06
1.0,0.016579487519035953,3.0672146419704182e-06
1.0,0.016647165195192,3.0978099620187924e-06
1.0,0.01668688107265191,3.126478392316454e-06
1.0,0.016737296632488,3.152483475347111e-06
1.0,0.016776994613137513,3.1798382154278536e-06
1.0,0.016818914562063407,3.2077696872334265e-06
1.0,0.01686149868017023,3.233989593381832e-06
1.0,0.016935625684797166,3.261423054272912e-06
1.0,0.01698571409190194,3.2944481591528302e-06
1.0,0.0170282216933016,3.3192926524604964e-06
1.0,0.01708282166734889,3.3467663159811616e-06
1.0,0.01712886322903698,3.374525578897047e-06
1.0,0.01717279784928538,3.404718772454855e-06
1.0,0.017220747424452912,3.4347999979497137e-06
1.0,0.017265869568215353,3.46354483756452e-06
1.0,0.01730859623413609,3.491632826437038e-06
1.0,0.017354180527833222,3.5226278308918214e-06
1.0,0.017393720477910532,3.550633543159794e-06
1.0,0.01743416930082297,3.5824197500686614e-06
1.0,0.01749091925118748,3.611720762891759e-06
1.0,0.017536733293180003,3.642441260667641e-06
1.0,0.01757908482048834,3.675480869217871e-06
1.0,0.017628340514206864,3.7087395436541137e-06
1.0,0.017677124219919238,3.739845334165723e-06
1.0,0.01772417112602282,3.771356228458758e-06
1.0,0.017775253780080925,3.8046590205768872e-06
