threshold,tp,fp,fn,tn,precision,recall,f1
0.07779874,1252,4722,0,83492,0.20957482423836626,1.0,0.34652643232770547
0.08396226,1252,4626,0,83588,0.21299761823749574,1.0,0.3511921458625526
0.09012579,1252,4534,0,83680,0.21638437608019356,1.0,0.3557828928672918
0.09628931,1252,4471,0,83743,0.21876638126856543,1.0,0.3589964157706093
0.10245283,1252,4407,0,83807,0.2212405018554515,1.0,0.3623209376356533
0.10861635,1252,4345,0,83869,0.2236912631767018,1.0,0.3656008176376113
0.11477987,1252,4289,0,83925,0.22595199422486917,1.0,0.36861475047843373
0.1209434,1252,4230,0,83984,0.2283838015322875,1.0,0.37184437184437186
0.12710692,1252,4181,0,84033,0.2304435854960427,1.0,0.37456993268511596
0.13327044,1252,4133,0,84081,0.23249767873723307,1.0,0.3772788910652403
0.13943396,1252,4093,0,84121,0.2342376052385407,1.0,0.3795664696073973
0.14559748,1252,4053,0,84161,0.23600377002827522,1.0,0.38188195821259724
0.15176101,1252,4001,0,84213,0.2383399961926518,1.0,0.384934665641814
0.15792453,1252,3950,0,84264,0.24067666282199154,1.0,0.3879764487139758
0.16408805,1252,3915,0,84299,0.24230694793884267,1.0,0.39009191462844683
0.17025157,1252,3887,0,84327,0.243627164818058,1.0,0.39180097011422316
0.17641509,1252,3855,0,84359,0.24515371059330332,1.0,0.393772605755622
0.18257862,1252,3820,0,84394,0.24684542586750788,1.0,0.39595192915876026
0.18874214,1252,3785,0,84429,0.2485606511812587,1.0,0.3981555096199714
0.19490566,1252,3749,0,84465,0.2503499300139972,1.0,0.40044778506316964
0.20106918,1252,3713,0,84501,0.25216515609264856,1.0,0.4027666076885958
0.2072327,1252,3689,0,84525,0.2533900020238818,1.0,0.4043274664944292
0.21339623,1252,3657,0,84557,0.2550417600325932,1.0,0.4064275279987015
0.21955975,1252,3617,0,84597,0.257136989114808,1.0,0.40908348309099823
0.22572327,1252,3577,0,84637,0.2592669289708014,1.0,0.41177437921394505
0.23188679,1252,3552,0,84662,0.26061615320566195,1.0,0.4134742404227213
0.23805031,1252,3513,0,84701,0.26274921301154247,1.0,0.416154229682566
0.24421384,1252,3472,0,84742,0.26502963590177814,1.0,0.4190093708165997
0.25037736,1252,3435,0,84779,0.2671218263281417,1.0,0.42161980131335247
0.25654088,1252,3394,0,84820,0.269479121825226,1.0,0.4245506951508986
0.2627044,1252,3362,0,84852,0.2713480710879931,1.0,0.4268666893965224
0.26886792,1252,3329,0,84885,0.273302772320454,1.0,0.4292816732384708
0.27503145,1252,3312,0,84902,0.2743207712532866,1.0,0.4305364511691885
0.28119497,1252,3290,0,84924,0.2756494936151475,1.0,0.43217121159820504
0.28735849,1252,3259,0,84955,0.27754378186654843,1.0,0.4344959222627104
0.29352201,1252,3234,0,84980,0.27909050378956757,1.0,0.43638898570930645
0.29968553,1252,3204,0,85010,0.28096947935368044,1.0,0.4386825508058865
0.30584906,1252,3180,0,85034,0.2824909747292419,1.0,0.4405348346235046
0.31201258,1252,3157,0,85057,0.2839646178271717,1.0,0.44232467761879524
0.3181761,1252,3128,0,85086,0.28584474885844746,1.0,0.4446022727272727
0.32433962,1252,3107,0,85107,0.28722183987153016,1.0,0.4462662626982712
0.33050314,1252,3085,0,85129,0.28867881023749137,1.0,0.44802290212918233
0.33666667,1252,3057,0,85157,0.29055465305175215,1.0,0.45027872684768927
0.34283019,1252,3026,0,85188,0.2926601215521272,1.0,0.4528028933092224
0.34899371,1252,3010,0,85204,0.29375879868606286,1.0,0.4541167936162495
0.35515723,1252,2985,0,85229,0.29549209346235544,1.0,0.45618509746766256
0.36132075,1252,2957,0,85257,0.29745782846281776,1.0,0.45852407983885735
0.36748428,1252,2937,0,85277,0.2988780138457866,1.0,0.46020952030876683
0.3736478,1252,2905,0,85309,0.30117873466442147,1.0,0.4629321501201701
0.37981132,1252,2891,0,85323,0.3021964759835868,1.0,0.4641334569045413
0.38597484,1252,2865,0,85349,0.304104930774836,1.0,0.46638107655056804
0.39213836,1252,2853,0,85361,0.30499390986601704,1.0,0.46742579802128054
0.39830189,1252,2830,0,85384,0.3067123958843704,1.0,0.46944131983502063
0.40446541,1252,2808,0,85406,0.3083743842364532,1.0,0.4713855421686747
0.41062893,1252,2780,0,85434,0.310515873015873,1.0,0.473883421650265
0.41679245,1252,2754,0,85460,0.31253120319520716,1.0,0.47622670216812474
0.42295597,1252,2730,0,85484,0.31441486690105475,1.0,0.47841039358043563
0.4291195,1252,2717,0,85497,0.31544469639707734,1.0,0.47960160888718634
0.43528302,1252,2694,0,85520,0.31728332488596045,1.0,0.4817237398999615
0.44144654,1252,2677,0,85537,0.31865614660218883,1.0,0.4833043813935533
0.44761006,1252,2662,0,85552,0.3198773633111906,1.0,0.48470770421989934
0.45377358,1252,2642,0,85572,0.32152028762198254,1.0,0.4865915273999223
0.45993711,1252,2625,0,85589,0.3229301005932422,1.0,0.488204328329109
0.46610063,1252,2605,0,85609,0.3246046149857402,1.0,0.49011548248189474
0.47226415,1252,2584,0,85630,0.32638164754953075,1.0,0.4921383647798742
0.47842767,1252,2567,0,85647,0.327834511652265,1.0,0.4937882074541511
0.48459119,1252,2551,0,85663,0.3292137785958454,1.0,0.49535113748763604
0.49075472,1252,2529,0,85685,0.3311293308648506,1.0,0.4975163918140274
0.49691824,1252,2513,0,85701,0.33253652058432936,1.0,0.49910304963125374
0.50308176,1252,2490,0,85724,0.33458043826830575,1.0,0.5014016820184222
0.50924528,1252,2467,0,85747,0.3366496369991933,1.0,0.5037215851941259
0.51540881,1252,2446,0,85768,0.33856138453217954,1.0,0.5058585858585859
0.52157233,1252,2419,0,85795,0.34105148460909834,1.0,0.5086329473898029
0.52773585,1252,2397,0,85817,0.34310770073992874,1.0,0.5109161395633544
0.53389937,1252,2371,0,85843,0.3455699696384212,1.0,0.5136410256410257
0.54006289,1252,2353,0,85861,0.34729542302357835,1.0,0.5155445748404365
0.54622642,1252,2335,0,85879,0.3490381934764427,1.0,0.5174622855961976
0.55238994,1252,2314,0,85900,0.3510936623667975,1.0,0.5197177251971772
0.55855346,1252,2303,0,85911,0.3521800281293952,1.0,0.5209070106095277
0.56471698,1252,2289,0,85925,0.35357243716464276,1.0,0.5224285416232005
0.5708805,1252,2260,0,85954,0.3564920273348519,1.0,0.5256087321578505
0.57704403,1252,2245,0,85969,0.3580211609951387,1.0,0.5272688987155191
0.58320755,1252,2225,0,85989,0.36008052919183203,1.0,0.5294988369634172
0.58937107,1252,2209,0,86005,0.361745160358278,1.0,0.5312964141735625
0.59553459,1252,2191,0,86023,0.36363636363636365,1.0,0.5333333333333333
0.60169811,1252,2175,0,86039,0.3653341114677561,1.0,0.5351570848471896
0.60786164,1252,2160,0,86054,0.3669402110199297,1.0,0.5368782161234992
0.61402516,1252,2147,0,86067,0.3683436304795528,1.0,0.538378843259514
0.62018868,1252,2122,0,86092,0.37107291049199764,1.0,0.5412883700821444
0.6263522,1252,2101,0,86113,0.3733969579481062,1.0,0.5437567861020629
0.63251572,1252,2085,0,86129,0.3751872939766257,1.0,0.5456526476356505
0.63867925,1252,2065,0,86149,0.37744950256255655,1.0,0.548041146859269
0.64484277,1252,2045,0,86169,0.3797391568092205,1.0,0.5504506484941745
0.65100629,1252,2030,0,86184,0.3814747105423522,1.0,0.5522717247463609
0.65716981,1252,2014,0,86200,0.3833435394978567,1.0,0.5542275343072156
0.66333333,1252,1998,0,86216,0.3852307692307692,1.0,0.5561972456685917
0.66949686,1252,1971,0,86243,0.38845795842382874,1.0,0.5595530726256983
0.67566038,1252,1956,0,86258,0.39027431421446385,1.0,0.5614349775784754
0.6818239,1252,1938,0,86276,0.3924764890282132,1.0,0.5637100405222872
0.68798742,1251,1918,1,86296,0.39476175449668666,0.9992012779552716,0.5659353087536756
0.69415094,1251,1900,1,86314,0.39701682005712474,0.9992012779552716,0.5682489211900977
0.70031447,1251,1882,1,86332,0.3992977976380466,0.9992012779552716,0.570581527936146
0.70647799,1251,1851,1,86363,0.4032882011605416,0.9992012779552716,0.5746440055121728
0.71264151,1251,1830,1,86384,0.4060370009737098,0.9992012779552716,0.5774290330025386
0.71880503,1251,1810,1,86404,0.40868997059784384,0.9992012779552716,0.5801066543009507
0.72496855,1250,1789,2,86425,0.4113195129976966,0.9984025559105432,0.5826147751106968
0.73113208,1249,1761,3,86453,0.4149501661129568,0.9976038338658147,0.5861098076020648
0.7372956,1249,1737,3,86477,0.41828533154722036,0.9976038338658147,0.5894289759320434
0.74345912,1248,1715,4,86499,0.4211947350658117,0.9968051118210862,0.592170818505338
0.74962264,1248,1695,4,86519,0.4240570846075433,0.9968051118210862,0.5949940405244338
0.75578616,1248,1681,4,86533,0.42608398770911576,0.9968051118210862,0.5969863668978713
0.76194969,1248,1663,4,86551,0.42871865338371695,0.9968051118210862,0.5995676195051646
0.76811321,1248,1631,4,86583,0.4334838485585273,0.9968051118210862,0.6042120551924474
0.77427673,1248,1610,4,86604,0.4366689993002099,0.9968051118210862,0.6072992700729927
0.78044025,1248,1583,4,86631,0.44083362769339457,0.9968051118210862,0.6113152094048494
0.78660377,1248,1565,4,86649,0.44365446142907927,0.9968051118210862,0.6140221402214022
0.7927673,1248,1545,4,86669,0.44683136412459723,0.9968051118210862,0.6170580964153276
0.79893082,1248,1526,4,86688,0.44989185291997114,0.9968051118210862,0.6199701937406854
0.80509434,1248,1502,4,86712,0.45381818181818184,0.9968051118210862,0.623688155922039
0.81125786,1246,1483,6,86731,0.45657750091608645,0.9952076677316294,0.6259733735242401
0.81742138,1246,1451,6,86763,0.46199480904708934,0.9952076677316294,0.6310458343884526
0.82358491,1246,1430,6,86784,0.4656203288490284,0.9952076677316294,0.6344195519348269
0.82974843,1246,1400,6,86814,0.4708994708994709,0.9952076677316294,0.6393022062596203
0.83591195,1245,1369,7,86845,0.47628156082631984,0.994408945686901,0.6440765649249871
0.84207547,1245,1341,7,86873,0.4814385150812065,0.994408945686901,0.648775403856175
0.84823899,1244,1310,8,86904,0.48707909162098667,0.9936102236421726,0.653704676826064
0.85440252,1244,1283,8,86931,0.49228333992876927,0.9936102236421726,0.6583752315427361
0.86056604,1244,1253,8,86961,0.4981978374048859,0.9936102236421726,0.6636436383035477
0.86672956,1243,1219,9,86995,0.5048740861088545,0.9928115015974441,0.6693591814754981
0.87289308,1243,1199,9,87015,0.509009009009009,0.9928115015974441,0.6729832160259882
0.8790566,1241,1177,11,87037,0.5132340777502068,0.9912140575079872,0.6762942779291553
0.88522013,1240,1135,12,87079,0.5221052631578947,0.9904153354632588,0.6837606837606838
0.89138365,1239,1104,13,87110,0.528809218950064,0.9896166134185304,0.6892906815020863
0.89754717,1236,1069,16,87145,0.5362255965292841,0.987220447284345,0.6949676693843126
0.90371069,1235,1046,17,87168,0.5414291977202981,0.9864217252396166,0.6991225587319557
0.90987421,1234,1010,18,87204,0.5499108734402852,0.9856230031948882,0.705949656750572
0.91603774,1232,985,20,87229,0.5557059088858818,0.9840255591054313,0.7102911501873739
0.92220126,1227,955,25,87259,0.5623281393217232,0.9800319488817891,0.7146185206755968
0.92836478,1226,913,26,87301,0.5731650303880318,0.9792332268370607,0.7230905337658509
0.9345283,1223,869,29,87345,0.5846080305927343,0.9768370607028753,0.7314593301435407
0.94069182,1221,826,31,87388,0.5964826575476306,0.9752396166134185,0.7402243103970899
0.94685535,1217,785,35,87429,0.6078921078921079,0.9720447284345048,0.7480024585125999
0.95301887,1211,731,41,87483,0.6235839340885685,0.9672523961661342,0.7582968065122104
0.95918239,1206,668,46,87546,0.6435432230522946,0.963258785942492,0.7715930902111325
0.96534591,1200,603,52,87611,0.6655574043261231,0.9584664536741214,0.7855973813420623
0.97150943,1193,534,59,87680,0.690793283149971,0.9528753993610224,0.8009399127223901
0.97767296,1183,455,69,87759,0.7222222222222222,0.944888178913738,0.8186851211072664
0.98383648,1170,356,82,87858,0.7667103538663171,0.9345047923322684,0.8423326133909286
0.99,1140,238,112,87976,0.8272859216255443,0.9105431309904153,0.8669201520912546
